signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,variant,symbol,exchange
2024-09-30,2024-10-01,2024-10-04,SHORT,16.399999618530273,16.80999960899353,15.579999637603759,15.579999637603759,TARGET,2,5.000000000000004,4.850000000000004,CURRENT,CUPID,BSE
2025-04-17,2025-04-21,2025-04-21,LONG,14.961999893188477,14.587949895858765,15.710099887847901,14.587949895858765,STOP_LOSS,0,-2.499999999999998,-2.6499999999999977,CURRENT,CUPID,BSE
2025-07-01,2025-07-02,2025-07-11,LONG,21.709999084472656,21.16724910736084,22.79549903869629,22.79549903869629,TARGET,7,4.9999999999999964,4.849999999999996,CURRENT,CUPID,BSE
2026-02-10,2026-02-11,2026-02-13,LONG,87.27999877929688,85.09799880981446,91.64399871826173,85.09799880981446,STOP_LOSS,2,-2.4999999999999964,-2.6499999999999964,CURRENT,CUPID,BSE
2026-02-20,2026-02-23,2026-02-25,LONG,85.18000030517578,83.05050029754638,89.43900032043457,83.05050029754638,STOP_LOSS,2,-2.5000000000000098,-2.6500000000000097,CURRENT,CUPID,BSE
2026-03-02,2026-03-04,2026-03-04,SHORT,75.01000213623047,76.88525218963622,71.25950202941894,76.88525218963622,STOP_LOSS,0,-2.499999999999985,-2.649999999999985,CURRENT,CUPID,BSE
2026-03-10,2026-03-11,2026-03-11,LONG,91.9499969482422,89.65124702453615,96.54749679565431,89.65124702453615,STOP_LOSS,0,-2.4999999999999996,-2.6499999999999995,CURRENT,CUPID,BSE
2026-04-06,2026-04-07,2026-04-07,LONG,88.29000091552734,86.08275089263915,92.70450096130371,86.08275089263915,STOP_LOSS,0,-2.500000000000006,-2.650000000000006,CURRENT,CUPID,BSE
2024-09-30,2024-10-01,2024-10-04,SHORT,16.399999618530273,16.80999960899353,15.579999637603759,15.579999637603759,TARGET,2,5.000000000000004,4.850000000000004,LONG_RSI_ZONE,CUPID,BSE
2026-02-10,2026-02-11,2026-02-13,LONG,87.27999877929688,85.09799880981446,91.64399871826173,85.09799880981446,STOP_LOSS,2,-2.4999999999999964,-2.6499999999999964,LONG_RSI_ZONE,CUPID,BSE
2026-03-02,2026-03-04,2026-03-04,SHORT,75.01000213623047,76.88525218963622,71.25950202941894,76.88525218963622,STOP_LOSS,0,-2.499999999999985,-2.649999999999985,LONG_RSI_ZONE,CUPID,BSE
2026-03-10,2026-03-11,2026-03-11,LONG,91.9499969482422,89.65124702453615,96.54749679565431,89.65124702453615,STOP_LOSS,0,-2.4999999999999996,-2.6499999999999995,LONG_RSI_ZONE,CUPID,BSE
2025-05-16,2025-05-19,2025-05-22,LONG,406.3999938964844,396.23999404907227,426.7199935913086,396.23999404907227,STOP_LOSS,3,-2.5,-2.65,CURRENT,COALINDIA,BSE
2025-10-24,2025-10-27,2025-10-29,LONG,395.9500122070313,386.0512619018555,415.74751281738287,386.0512619018555,STOP_LOSS,2,-2.5,-2.65,CURRENT,COALINDIA,BSE
2025-11-06,2025-11-07,2025-11-10,SHORT,372.5499877929688,381.863737487793,353.92248840332036,381.863737487793,STOP_LOSS,1,-2.4999999999999933,-2.6499999999999932,CURRENT,COALINDIA,BSE
2025-11-21,2025-11-24,2025-12-08,SHORT,378.2000122070313,387.65501251220707,359.29001159667973,377.1499938964844,TIME_EXIT,10,0.2776357156678617,0.12763571566786172,CURRENT,COALINDIA,BSE
2026-04-29,2026-04-30,2026-05-05,LONG,485.6000061035156,473.4600059509277,509.88000640869143,473.4600059509277,STOP_LOSS,2,-2.500000000000002,-2.650000000000002,CURRENT,COALINDIA,BSE
2025-05-16,2025-05-19,2025-05-22,LONG,406.3999938964844,396.23999404907227,426.7199935913086,396.23999404907227,STOP_LOSS,3,-2.5,-2.65,LONG_RSI_ZONE,COALINDIA,BSE
2025-11-06,2025-11-07,2025-11-10,SHORT,372.5499877929688,381.863737487793,353.92248840332036,381.863737487793,STOP_LOSS,1,-2.4999999999999933,-2.6499999999999932,LONG_RSI_ZONE,COALINDIA,BSE
2025-11-21,2025-11-24,2025-12-08,SHORT,378.2000122070313,387.65501251220707,359.29001159667973,377.1499938964844,TIME_EXIT,10,0.2776357156678617,0.12763571566786172,LONG_RSI_ZONE,COALINDIA,BSE
2024-12-20,2024-12-23,2025-01-06,SHORT,142.64999389648438,146.21624374389648,135.51749420166016,135.51749420166016,TARGET,8,5.0,4.85,CURRENT,TATASTEEL,BSE
2025-07-01,2025-07-02,2025-07-03,LONG,160.10000610351562,156.09750595092774,168.10500640869142,168.10500640869142,TARGET,1,5.000000000000011,4.85000000000001,CURRENT,TATASTEEL,BSE
2025-08-22,2025-08-25,2025-08-26,LONG,159.0,155.025,166.95000000000002,155.025,STOP_LOSS,1,-2.4999999999999964,-2.6499999999999964,CURRENT,TATASTEEL,BSE
2025-08-28,2025-08-29,2025-09-02,SHORT,154.25,158.10625,146.5375,158.10625,STOP_LOSS,1,-2.4999999999999925,-2.6499999999999924,CURRENT,TATASTEEL,BSE
2025-09-04,2025-09-05,2025-09-19,LONG,166.8000030517578,162.63000297546387,175.1400032043457,171.5,TIME_EXIT,10,2.8177439222131095,2.6677439222131096,CURRENT,TATASTEEL,BSE
2026-04-08,2026-04-09,2026-04-21,LONG,203.6999969482422,198.60749702453612,213.8849967956543,213.8849967956543,TARGET,7,5.000000000000003,4.850000000000002,CURRENT,TATASTEEL,BSE
