signal_date,entry_date,exit_date,direction,entry_price,stop_loss,target,exit_price,exit_reason,holding_days,gross_pnl_pct,net_pnl_pct,variant,symbol,exchange,regime,filter
2025-09-17,2025-09-18,2025-09-22,LONG,91.86000061035156,89.56350059509278,96.45300064086916,89.56350059509278,STOP_LOSS,2,-2.499999999999997,-2.649999999999997,CURRENT,GMRAIRPORT,BSE,BULL,ALL_TRADES
2025-09-18,2025-09-19,2025-09-26,LONG,123.1999969482422,120.11999702453616,129.35999679565433,120.11999702453616,STOP_LOSS,5,-2.5,-2.65,CURRENT,STLTECH,BSE,BULL,ALL_TRADES
2025-09-19,2025-09-22,2025-10-07,LONG,339.1499938964844,330.67124404907224,356.1074935913086,338.0,TIME_EXIT,10,-0.3390812080731976,-0.4890812080731975,CURRENT,NTPC,NSE,BULL,ALL_TRADES
2025-09-19,2025-09-22,2025-10-07,LONG,339.6000061035156,331.1100059509277,356.5800064086914,338.0,TIME_EXIT,10,-0.4711443094108535,-0.6211443094108535,CURRENT,NTPC,BSE,BULL,ALL_TRADES
2025-09-23,2025-09-24,2025-10-09,SHORT,403.2000122070313,413.2800125122071,383.0400115966797,399.8999938964844,TIME_EXIT,10,0.8184568974795738,0.6684568974795738,CURRENT,ITC,NSE,BULL,ALL_TRADES
2025-09-25,2025-09-26,2025-10-07,SHORT,300.8999938964844,308.42249374389644,285.85499420166013,308.42249374389644,STOP_LOSS,6,-2.499999999999985,-2.649999999999985,CURRENT,JIOFIN,NSE,BULL,ALL_TRADES
2025-09-25,2025-09-26,2025-10-07,SHORT,301.25,308.78125,286.1875,308.78125,STOP_LOSS,6,-2.5,-2.65,CURRENT,JIOFIN,BSE,BULL,ALL_TRADES
2025-09-25,2025-09-26,2025-10-13,LONG,261.75,255.20625,274.83750000000003,268.6000061035156,TIME_EXIT,10,2.6170032869209647,2.467003286920965,CURRENT,AWL,BSE,BULL,ALL_TRADES
2025-09-26,2025-09-29,2025-10-06,SHORT,68.88999938964844,70.61224937438965,65.44549942016602,70.61224937438965,STOP_LOSS,4,-2.5,-2.65,CURRENT,IDFCFIRSTB,NSE,BULL,ALL_TRADES
2025-09-26,2025-09-29,2025-10-01,SHORT,138.0,141.45,131.1,141.45,STOP_LOSS,2,-2.499999999999992,-2.649999999999992,CURRENT,IEX,NSE,BULL,ALL_TRADES
2025-09-26,2025-09-29,2025-10-06,SHORT,68.91000366210938,70.6327537536621,65.46450347900391,70.6327537536621,STOP_LOSS,4,-2.499999999999988,-2.6499999999999875,CURRENT,IDFCFIRSTB,BSE,BULL,ALL_TRADES
2025-09-26,2025-09-29,2025-09-30,SHORT,137.8000030517578,141.24500312805174,130.9100028991699,141.24500312805174,STOP_LOSS,1,-2.499999999999984,-2.6499999999999835,CURRENT,IEX,BSE,BULL,ALL_TRADES
2025-09-29,2025-09-30,2025-10-08,SHORT,239.92999267578125,245.92824249267576,227.93349304199216,245.92824249267576,STOP_LOSS,5,-2.499999999999993,-2.649999999999993,CURRENT,WIPRO,NSE,BULL,ALL_TRADES
2025-09-29,2025-09-30,2025-10-08,SHORT,240.0,246.0,228.0,246.0,STOP_LOSS,5,-2.499999999999988,-2.649999999999988,CURRENT,WIPRO,BSE,BULL,ALL_TRADES
2025-10-01,2025-10-03,2025-10-07,SHORT,174.72000122070312,179.08800125122067,165.98400115966797,179.08800125122067,STOP_LOSS,2,-2.499999999999984,-2.649999999999984,CURRENT,GAIL,NSE,BULL,ALL_TRADES
2025-10-01,2025-10-03,2025-10-17,LONG,48.22999954223633,47.02424955368042,50.64149951934815,48.720001220703125,TIME_EXIT,10,1.015968656681593,0.8659686566815931,CURRENT,UJJIVANSFB,NSE,BULL,ALL_TRADES
2025-10-01,2025-10-03,2025-10-17,LONG,48.06999969482422,46.86824970245361,50.47349967956544,48.75,TIME_EXIT,10,1.414604346770982,1.2646043467709822,CURRENT,UJJIVANSFB,BSE,BULL,ALL_TRADES
2025-10-03,2025-10-06,2025-10-07,LONG,58.2599983215332,56.80349836349488,61.17299823760987,56.80349836349488,STOP_LOSS,1,-2.499999999999998,-2.6499999999999977,CURRENT,IFCI,NSE,BULL,ALL_TRADES
2025-10-06,2025-10-07,2025-10-21,LONG,256.04998779296875,249.6487380981445,268.8524871826172,257.5,TIME_EXIT,10,0.5663004398202389,0.4163004398202389,CURRENT,NYKAA,BSE,BULL,ALL_TRADES
2025-10-10,2025-10-13,2025-10-16,LONG,74.3499984741211,72.49124851226806,78.06749839782715,72.49124851226806,STOP_LOSS,3,-2.5000000000000115,-2.6500000000000115,CURRENT,IDFCFIRSTB,NSE,BULL,ALL_TRADES
